model,selector,method,mase_ratio,mase_change_pct,flops_saved_pct,harm5_pct,coverage_pct,n_cells,n_instances,source,on_selector_pareto,on_union_pareto
Chronos2-Base,ExtraTrees,dense_089,1.2534026399629796,25.340263996297963,95.13837800979641,45.38343633576793,94.66396478462218,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_090,1.2599742226301167,25.99742226301167,95.23542458357936,45.66898853972912,94.90369772376438,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_091,1.26592528750451,26.592528750450995,95.32972159199379,45.93926765541731,95.13115764554435,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_092,1.2745967689096722,27.459676890967224,95.4184565092504,46.25536603592448,95.33216239656574,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_093,1.2884871849673083,28.84871849673083,95.48940181414906,46.469734739184744,95.4827114095424,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_094,1.3014749220249702,30.147492202497016,95.5550164198653,46.69555825864975,95.61471452961615,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_095,1.3089649454852479,30.89649454852479,95.61722726609192,46.912927032820775,95.72789902306782,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_096,1.3229143302878028,32.29143302878028,95.67588627750922,47.078476400351285,95.81435561204174,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_097,1.3405994176194207,34.05994176194207,95.72450156822771,47.289299565262446,95.85717480594997,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_098,1.3944695074785203,39.44695074785203,95.77705697353734,47.50939567662508,95.86944782331219,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_099,1.4105111481087482,41.05111481087482,95.82997687881577,47.75649242618462,95.87162969306547,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_100,1.4364530526222152,43.64530526222153,95.884552071984,48.060590523048724,95.87190242678463,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_101,1.465638553078353,46.56385530783529,95.93501034683591,48.391143790671414,95.87190242678463,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_001,0.999890611252749,-0.010938874725097136,0.3395170958112259,0.05591041242793012,0.24655128212121377,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_003,1.0001044978549016,0.010449785490163066,17.050327156149557,1.2354837477976752,22.27961751823225,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_004,1.0001294471400204,0.012944714002038893,17.69979571703133,1.326849543716488,23.780471174773222,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_005,1.0001436744872994,0.014367448729935006,22.63382411990138,1.7542232816412022,29.093051290303222,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_020,1.0098864067398383,0.9886406739838316,74.53995011697243,9.810504611927191,43.47648217139678,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_021,1.010025134551634,1.0025134551634007,74.98178219128069,9.949053341260793,43.47648217139678,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_036,1.0347447704584738,3.4744770458473795,86.46382123645702,22.79672064976081,70.80849183707979,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_042,1.0670496780311733,6.704967803117334,90.44843195736317,27.87447703309351,74.38539456387151,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_043,1.0725524051150195,7.255240511501948,91.01975131632824,28.849500079092778,75.7149714447796,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_044,1.0782150086156894,7.821500861568942,91.09352798166086,28.835317925696422,75.7149714447796,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_046,1.0839374794560979,8.393747945609785,91.52857012361541,30.070256206055777,76.43526119708284,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_047,1.08450000791397,8.450000791396995,91.54717690357734,30.079529152507238,76.43526119708284,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_048,1.0858319724826946,8.583197248269459,91.6992693024477,30.244533052599426,76.57053712178651,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_049,1.0926758590994168,9.267585909941678,92.01828553180681,31.0747344937244,76.57926460079966,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_050,1.10369423412015,10.36942341201501,92.54347015311932,32.59604317920242,78.3062145105248,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_051,1.103732905799224,10.3732905799224,92.54971999727088,32.629316692940016,78.3062145105248,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_052,1.1085074922359386,10.850749223593859,92.68731398222685,32.88595912267017,78.30675997796311,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_053,1.109735277395602,10.973527739560197,92.72882925185645,32.90641415160722,78.30675997796311,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_056,1.1336992263184633,13.369922631846332,93.26996428242896,39.07374174298665,91.09306219965198,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_057,1.1356414960958157,13.564149609581566,93.34649771500457,39.1045606532518,91.09306219965198,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_058,1.1361372235930967,13.613722359309666,93.35917754158909,39.12637935078466,91.09306219965198,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_060,1.1619529792239052,16.195297922390516,93.89620692744613,40.897784856732976,91.81417015311271,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,Depth-8 tree,dense_062,1.1702608629260225,17.02608629260225,93.97700195473179,41.58534656273694,93.32729682701591,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/selector_pareto/compact_dense/chronos2_base/full_score/real_evaluation.json,True,True
