dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
kdd_cup_2018/D/short,Chronos-2-Synth,2946.7586940621054,2946.7586940621054,21.5647815679234,1.2267338836124602,0.5152686024149711,0.4796934545702008,9.098753811722716,54.28405561545771,1.2160204488827209,0.4830739904189623,0.38230301851734116,Nature,1
kdd_cup_2018/H/long,Chronos-2-Synth,4045.840837585906,4045.840837585906,23.808732372085938,1.0056682992128088,1.076596149901843,0.5937768684710073,9.066401376874248,63.606924446839166,1.4924754763869323,0.5586490700221827,0.4479404193809887,Nature,1
kdd_cup_2018/H/medium,Chronos-2-Synth,5122.602203665755,5122.602203665755,25.06738688770607,1.0333821701122667,1.030373902272039,0.5458441571263707,9.974736199921653,71.57235642107752,1.4981390434693884,0.5247058067123463,0.42828807883426495,Nature,1
kdd_cup_2018/H/short,Chronos-2-Synth,4759.541181607157,4759.541181607157,23.521448148089235,0.9617569356425049,0.9499539801827462,0.4992119404206415,7.9651435504467525,68.98942804232513,1.444073678745789,0.4923465104798509,0.3945809360384573,Nature,1
loop_seattle/5T/long,Chronos-2-Synth,110.32625386996904,110.32625386996904,5.9895890666208,0.9444327821719863,0.19135297073873409,0.1337311070261438,7.260523282868716,10.503630509017777,0.18570633551131524,0.10589715963693039,0.0835461805348947,Transport,1
loop_seattle/5T/medium,Chronos-2-Synth,93.02269744904541,93.02269744904541,5.525714351941435,0.8742128961352799,0.16884233787701963,0.12586975947991244,6.591585791776922,9.64482749711188,0.17160129518125328,0.09831381016184394,0.07745264908605397,Transport,1
loop_seattle/5T/short,Chronos-2-Synth,48.79722339799407,48.79722339799407,3.742391479618163,0.5913434776927697,0.09477528826986181,0.08031280761655762,4.355787760342249,6.985500941091774,0.11978592256043054,0.06417375357167915,0.05033415212973805,Transport,1
loop_seattle/D/short,Chronos-2-Synth,18.80484068627451,18.80484068627451,2.9243590363777088,0.8806483831727409,0.05431334630377645,0.053937233687677374,8.173845766333885,4.336454852327476,0.07749824794323451,0.052262207124005686,0.04288315051208741,Transport,1
loop_seattle/H/long,Chronos-2-Synth,62.48869969040248,62.48869969040248,4.261671987874097,0.8896534133828808,0.12443774590428276,0.09878565444132698,7.3880852425383505,7.904979423781094,0.14127256556566875,0.07616178399087375,0.0612031220040873,Transport,1
loop_seattle/H/medium,Chronos-2-Synth,69.3547342621259,69.3547342621259,4.5149038151444785,0.9257389258531883,0.11823686377305856,0.10304260568845136,7.973493319085672,8.327948982920459,0.14719554943906268,0.07980041053297351,0.06442098508401783,Transport,1
loop_seattle/H/short,Chronos-2-Synth,62.57557896773668,62.57557896773668,4.181890931796888,0.8462548971023094,0.11863818807582763,0.09581890399384412,7.4272659976702124,7.910472739839047,0.14002341176115551,0.07402372211387612,0.059602970163296236,Transport,1
m4_daily/D/short,Chronos-2-Synth,399669.5965392545,399669.5965392545,187.5868653152354,3.409987345053648,0.03918911039400183,0.031242069183919963,24.838969339227425,632.1942712009137,0.09765654392155923,0.028976986642042867,0.02285617322566967,Econ/Fin,1
m4_hourly/H/short,Chronos-2-Synth,2212933.874396135,2212933.874396135,245.33572363123994,0.8475253507724109,0.1071399436864684,0.09156327547082578,5.974099355795926,1487.5933161977218,0.20308932288762546,0.03349374150172082,0.025676262348310278,Econ/Fin,1
m4_monthly/M/short,Chronos-2-Synth,1814359.5064814815,1814359.5064814815,551.9609208622685,0.9152717496686643,0.1594462887092873,0.13064415645599364,7.435159795542234,1346.9816281157964,0.2799490248519171,0.11471642844001322,0.09115975093117218,Econ/Fin,1
m4_quarterly/Q/short,Chronos-2-Synth,1713842.6106666666,1713842.6106666666,549.8309615885416,1.1549957558124753,0.11340904029210408,0.09985374609629313,8.918739896482842,1309.1381174905368,0.219126667694775,0.09203202076130969,0.07364921509746819,Econ/Fin,1
m4_weekly/W/short,Chronos-2-Synth,268961.76215984573,268961.76215984573,258.3934004713949,2.077450928837584,0.061158979018239766,0.06148336642248768,13.836780738282558,518.6152351790735,0.09448365869346564,0.047075273155740074,0.03730339670014975,Econ/Fin,1
m4_yearly/A/short,Chronos-2-Synth,3685389.7839296595,3685389.7839296595,920.2356286816981,3.5049862211654736,0.17396093327406684,0.1532782643764475,32.57133348396228,1919.7369048725557,0.30783871133677393,0.1475640486675783,0.12069973668436416,Econ/Fin,1
m_dense/D/short,Chronos-2-Synth,7726.954074074074,7726.954074074074,40.77435763888889,0.617717798937793,0.11451142058715368,0.08892012419524016,6.5849827282838485,87.90309479235685,0.15217325965655212,0.07058644439047965,0.059470267920516524,Transport,1
m_dense/H/long,Chronos-2-Synth,46976.205432098766,46976.205432098766,103.92342592592593,0.9525571878203053,0.34672881948744544,0.2579320987654321,8.566293208386405,216.73994886060754,0.3752088914682348,0.17990681295364488,0.1485976291830834,Transport,1
m_dense/H/medium,Chronos-2-Synth,46059.008888888886,46059.008888888886,100.5235329861111,0.9139888536317566,0.3380331183367013,0.2491665988498264,8.112792744029537,214.61362698787067,0.3734005974080157,0.1748982475968297,0.14224952942399563,Transport,1
m_dense/H/short,Chronos-2-Synth,57251.253333333334,57251.253333333334,101.31924479166666,0.8628583175659563,0.32152140552001257,0.23927371554904514,9.759521191219998,239.27234134628543,0.424409510702401,0.17971509312284167,0.14882894271228334,Transport,1
restaurant/D/short,Chronos-2-Synth,139.3336368730737,139.3336368730737,7.089800335061175,0.6795262994076543,0.6784850156439712,0.3913678879763239,4.505903622611708,11.803966997288398,0.5432459107319507,0.3262890383218424,0.25532748124844856,Sales,1
saugeen/D/short,Chronos-2-Synth,1467.0227083333334,1467.0227083333334,14.2811572265625,3.173431267746448,0.28979273478190104,0.3482537333170573,34.74162723364932,38.30173244558702,1.2406022398908698,0.4625700852742611,0.39102529437017286,Nature,1
saugeen/M/short,Chronos-2-Synth,385.9129231770833,385.9129231770833,12.179532005673362,0.7136291846141731,0.34761120024181547,0.34681401933942524,4.566374263048426,19.644666532600734,0.5897918227563019,0.3656660890641146,0.28270054296690506,Nature,1
saugeen/W/short,Chronos-2-Synth,955.3931640625,955.3931640625,14.646339416503906,1.1881830354589615,0.3744035720825195,0.38387365341186525,9.0132699390077,30.909434871289704,0.9330269935678432,0.4421119340893548,0.35342588890179716,Nature,1
solar/10T/long,Chronos-2-Synth,24.5850122604927,24.5850122604927,1.9476960688805252,0.8515239529034765,2.3906434573553565,1.4782443124000466,6.186527518669835,4.9583275668810645,1.0716630712707336,0.42096330323561004,0.3363057070118321,Energy,1
solar/10T/medium,Chronos-2-Synth,27.341969420482194,27.341969420482194,2.0353347572439726,0.8903335704909898,3.3641751713349226,1.471654501216545,5.364971100377557,5.228954907099715,1.1603258153341194,0.4516488483139158,0.34691033045746733,Energy,1
solar/10T/short,Chronos-2-Synth,23.32006491408151,23.32006491408151,1.95843954341545,0.8593865848094706,4.738321593485067,1.514620221734337,4.215776608762778,4.82908530822158,1.4047803932041985,0.5697098510937241,0.43306058940099906,Energy,1
solar/D/short,Chronos-2-Synth,122546.70170316302,122546.70170316302,247.4690389294404,0.9650313836985104,1.05850227151764,0.422403704046913,4.9920261452640124,350.06671036127244,0.5057271622187577,0.3575084722155706,0.2692073299316702,Energy,1
solar/H/long,Chronos-2-Synth,768.8025141930251,768.8025141930251,12.26878801703163,0.9344835660449682,4.540054033870689,1.4032767513179238,6.365052569492576,27.727288258916072,0.9613556154835421,0.42538123978127645,0.3308750043752249,Energy,1
solar/H/medium,Chronos-2-Synth,833.2734184914842,833.2734184914842,11.766320711678832,0.899750685749648,4.488155582510605,1.3976797730383212,5.845376977920172,28.86647568532543,1.0398378288694001,0.42385033476161393,0.33455320822860907,Energy,1
solar/H/short,Chronos-2-Synth,792.829843770009,792.829843770009,12.105636825297733,0.9351976803501281,4.151352159295716,1.4094980801399026,5.870175135572951,28.15723430612476,1.0378850631462895,0.4462178175687237,0.35625857347291656,Energy,1
solar/W/short,Chronos-2-Synth,1588413.897810219,1588413.897810219,1013.9396669708029,1.1094004069973584,0.22928957695508526,0.19911461154909899,6.952774102376596,1260.3229339380518,0.2572634204451871,0.206970435771491,0.14972938178639336,Energy,1
sz_taxi/15T/long,Chronos-2-Synth,15.47737045940171,15.47737045940171,2.6929829393696583,0.5082846064566703,5754869507219.619,0.4004704402043269,4.295114259807665,3.934128932737425,0.36413596608264365,0.24925770381122805,0.2016473063849256,Transport,1
sz_taxi/15T/medium,Chronos-2-Synth,16.31565671741453,16.31565671741453,2.7639354216746796,0.5401290748943555,8826194502402.188,0.408639656784188,4.3057667547856875,4.039264378251878,0.3759209717918787,0.25723032522461714,0.20567466039995114,Transport,1
sz_taxi/15T/short,Chronos-2-Synth,16.57537595867674,16.57537595867674,2.723099127502814,0.5440025514925346,1008882213134.1923,0.39486388321761245,3.890350356598083,4.0712867693981885,0.3806827251110475,0.25462141463410626,0.20040406575972258,Transport,1
sz_taxi/H/short,Chronos-2-Synth,7.213133722288996,7.213133722288996,1.8414129273504274,0.5608318283302823,0.9596420679336939,0.29430187257946044,4.074081992224543,2.6857277826110737,0.25019211627498367,0.17153897733522913,0.13561967251201457,Transport,1
temperature_rain/D/short,Chronos-2-Synth,186.346511214151,186.346511214151,5.784900465951639,1.3516999154066685,18.42305641096644,1.5202821906495776,19.451127278511645,13.650879503319594,1.607069417588225,0.6810357252338202,0.5526510310620748,Nature,1
us_births/D/short,Chronos-2-Synth,115898.56,115898.56,206.97010416666666,0.30490546617655323,0.019947195053100587,0.019760162035624185,2.4289878839676087,340.43877569983124,0.03191337272053306,0.019401767800099803,0.015448107758455905,Healthcare,1
us_births/M/short,Chronos-2-Synth,40516794.666666664,40516794.666666664,5376.364583333333,0.6074192832476859,0.016499829789002735,0.01666366308927536,3.7589275695673012,6365.280407544247,0.019770517547898873,0.016698951740242683,0.012380833574658938,Healthcare,1
us_births/W/short,Chronos-2-Synth,2086647.4285714286,2086647.4285714286,1118.771763392857,1.0176816047982542,0.015155343072754996,0.015174633690289088,6.560831048680451,1444.5232530393648,0.019609261518111445,0.015187216987535331,0.011958782913582013,Healthcare,1
